jiscode,自治体,住所,緯度,経度,人口
2424,東通村,下北郡東通村大字砂子又字沢内5-34,41.277726,141.3289,5955 
2425,風間浦村,下北郡風間浦村大字易国間字大川目28-5,41.487487,140.995534,1636 
2426,佐井村,下北郡佐井村大字佐井字糠森20,41.429718,140.859175,1788 
2441,三戸町,三戸郡三戸町大字在府小路町43,40.378423,141.25874,9082 
2442,五戸町,三戸郡五戸町字古舘21-1,40.531208,141.307813,16042 
2443,田子町,三戸郡田子町大字田子字天神堂平81,40.34003,141.15215,4968 
2445,南部町,三戸郡南部町大字平字広場28-1,40.420343,141.330307,16809 
2446,階上町,三戸郡階上町大字道仏字天当平1-87,40.452454,141.621001,13496 
2450,新郷村,三戸郡新郷村大字戸来字風呂前10,40.465784,141.1734,2197 
3201,盛岡市,盛岡市内丸12-2,39.701795,141.154183,289731 
3202,宮古市,宮古市宮町1-1-30,39.639554,141.946115,50369 
3203,大船渡市,大船渡市盛町字宇津野沢15,39.081901,141.708547,34728 
3205,花巻市,花巻市花城町9-30,39.388609,141.116854,93193 
3206,北上市,北上市芳町1-1,39.286817,141.113157,93045 
3207,久慈市,久慈市川崎町1-1,40.190466,141.775644,33043 
3208,遠野市,遠野市中央通り9-1,39.331014,141.532352,25366 
3209,一関市,一関市竹山町7-2,38.934754,141.126759,111932 
3210,陸前高田市,陸前高田市高田町字下和野100番地,39.020413,141.633321,18262 
3211,釜石市,釜石市只越町3-9-13,39.27581,141.885716,32078 
3213,二戸市,二戸市福岡字川又47,40.271193,141.304805,25513 
3214,八幡平市,八幡平市野駄21-170,39.956511,141.07112,24023 
3215,奥州市,奥州市水沢大手町1-1,39.144506,141.139116,112937 
3216,滝沢市,滝沢市中鵜飼55,39.734739,141.077065,55579 
3301,雫石町,岩手郡雫石町千刈田5-1,39.696319,140.975779,15731 
3302,葛巻町,岩手郡葛巻町葛巻16-1-1,40.040086,141.438203,5634 
3303,岩手町,岩手郡岩手町大字五日市10-44,39.972768,141.212166,12285 
3321,紫波町,紫波郡紫波町紫波中央駅前2-3-1,39.554536,141.155796,32147 
3322,矢巾町,紫波郡矢巾町大字南矢幅第13地割123番地,39.606006,141.143001,28056 
3366,西和賀町,和賀郡西和賀町川尻40地割40番地71,39.317906,140.778754,5134 
3381,金ケ崎町,胆沢郡金ケ崎町西根南町22-1,39.195687,141.116408,15535 
3402,平泉町,西磐井郡平泉町平泉字志羅山45-2,38.986781,141.11398,7252 
3441,住田町,気仙郡住田町世田米字川向88-1,39.142209,141.575052,5045 
3461,大槌町,上閉伊郡大槌町上町1番3号,39.358196,141.899731,11004 
3482,山田町,下閉伊郡山田町八幡町3-20,39.467619,141.948923,14320 
